Protein	S.cerevisiae	A.fumigatus	C.neoformans	C.parapsilosis	F.graminearum	S.bayanus	L.kluyveri	S.mikatae	S.paradoxus	M.oryzae	N.crassa	S.pombe	A.nidulans	C.glabrata	C.albicans	N.castellii	N.discreta	N.tetrasperma	S.kudriavzevii
NP_014574.1	0.034725697192	NA	NA	0.009465880091639999	NA	0.0054506958031600005	0.050235120356300005	0.0054506958031600005	0.034725697192	NA	NA	NA	NA	0.022017269187599997	0.009233931335069999	0.0186693583017	NA	NA	0.0478882268858
NP_012342.1	0.0104101176394	NA	NA	NA	NA	0.019330598746499998	0.051919223892900004	0.019330598746499998	0.0104101176394	NA	NA	NA	NA	NA	NA	0.0270376147102	NA	NA	0.0316209276281
NP_012622.3	0.015634438139500002	NA	NA	NA	NA	0.00459005787501	0.0169032447058	0.00459005787501	0.015634438139500002	NA	NA	NA	NA	NA	NA	0.0198374104937	NA	NA	0.000743207251189
NP_014280.3	0.0320754292368	0.0138999055415	0.0256559897673	0.0830241814481	0.044381902355	0.0241400132735	0.0384524161791	0.0241400132735	0.0320754292368	0.0118193233559	0.22785069176	0.00651926758213	0.0336220123997	0.011287756685600002	0.0173066351564	0.0234140856023	0.22785069176	0.22785069176	0.0578021349036
NP_013737.1	0.00253867655426	0.00743247397199	0.0212274548472	0.0234751949145	0.0309454226444	0.0100633559529	0.022153521645299996	0.0100633559529	0.00253867655426	0.00102030680243	0.142905553065	0.014360652050299998	0.011097972468399999	0.00219122493748	0.025384712639200002	0.0206708277118	0.142905553065	0.142905553065	0.00230001774298
NP_010766.3	0.0534351147289	NA	NA	NA	NA	0.0345527875361	0.0109951457231	0.0345527875361	0.0534351147289	NA	NA	0.0851540809095	NA	0.0516033148989	0.04613608980219999	0.0241193535753	NA	NA	0.0963102246311
NP_012160.2	0.0476418050801	0.021089853074	0.0179665111581	0.0205914638523	0.012214456468	0.0240355107155	0.0421790572518	0.0240355107155	0.0476418050801	0.006300978472859999	0.00772429658166	0.041488003239999995	0.0424707581809	0.030564748097099997	0.022235561912599996	0.0822108763325	0.00772429658166	0.00772429658166	0.0411367817941
NP_009685.3	0.024502374603400004	0.00111811570774	0.008911021983149999	0.0142367894022	0.00983725904942	0.0410504651387	0.0577635633958	0.0410504651387	0.024502374603400004	0.0027283167105	0.033293587332	0.07579988085039999	0.0027511815339599996	0.031016123081400004	3.60322185106e-05	0.0423425427639	0.033293587332	0.033293587332	0.0114661946562
NP_009874.1	0.00857431553585	0.009638922771169999	NA	0.0112241959405	0.00485530053779	0.0009171102656910001	0.019466920324400002	0.0009171102656910001	0.00857431553585	0.00396606458114	0.315620551282	NA	NA	0.0161286532454	0.0327362126139	0.0633426705684	0.315620551282	0.315620551282	0.0384450927434
NP_009917.1	0.0123119875147	0.010066611044100001	0.00512466849056	0.0332627678196	0.023290022490400002	0.017360241856299998	0.00303383254091	0.017360241856299998	0.0123119875147	0.00259002056784	0.0785177325923	0.078390189538	0.0164115702448	0.00946041317939	0.041203552017300006	0.0514811773635	0.0785177325923	0.0785177325923	0.0104604530983
NP_011641.1	0.0190362964707	0.009966699809280001	0.018128454973200002	0.0106749840891	0.110239500828	0.0290042547048	0.0325030430889	0.0290042547048	0.0190362964707	0.0017057377483199999	0.0232336067577	0.044282040444099995	0.0346466655794	0.0277720032119	0.00735808252004	0.0140062981725	0.0232336067577	0.0232336067577	0.0488050418566
NP_012942.3	0.0268884591487	0.012526730439599999	0.0084890842952	0.0151464818444	0.00691824378639	0.00879616554421	0.00106305869257	0.00879616554421	0.0268884591487	0.00326835669641	0.027583637532599996	0.09697667345170001	0.014377661875	0.0137721208605	0.0023772558685999996	0.011303319144700001	0.027583637532599996	0.027583637532599996	0.0121608996663
NP_011280.1	0.0176115726294	0.011615695479700002	0.018787788260400003	0.00958388805774	0.0473491373613	0.042341672911599994	0.185414861576	0.042341672911599994	0.0176115726294	0.0017402051631099998	0.0654320638827	0.0785848556397	0.0100158460605	0.0175286653803	0.000895977919917	0.390085105522	0.0654320638827	0.0654320638827	0.0194320241355
NP_012126.1	0.0407140829974	0.08535939642210001	0.0143258127009	0.028853157252099998	0.0193111227222	0.00735875166683	0.0095564012452	0.00735875166683	0.0407140829974	0.00463984898896	0.0433745145489	NA	0.0203345755086	0.0208789324261	0.04710110785209999	0.0292367455516	0.0433745145489	0.0433745145489	0.00634822126134
NP_009872.1	0.0251241497291	0.0204861203395	0.0144164607923	0.0035653350357	0.0331641179809	0.0026205587647600004	0.026957571657699998	0.0026205587647600004	0.0251241497291	0.011338758489299999	0.0100345749183	0.00868674737288	0.0230714859407	0.024224628467599995	0.00846998006079	0.0330875491122	0.0100345749183	0.0100345749183	0.0165393455367
NP_012070.3	0.010829648891	0.007042133272279999	0.0141315070184	0.0252323458042	0.0035243095718200004	0.011850102811000001	0.0205402679652	0.011850102811000001	0.010829648891	0.00394997349853	0.0241068293382	0.047331389113800006	0.011658936938700001	0.012881473511299998	0.00350119605761	0.013684196286299998	0.0241068293382	0.0241068293382	0.0278927847909
