Protein_1	Protein_2	Type	Score
NP_009365.1	NP_014849.3	binding	900
NP_015323.1	NP_015499.1	binding	303
NP_010223.1	NP_012426.1	binding	910
NP_010717.1	NP_014003.1	binding	260
NP_009356.1	NP_010704.1	binding	172
NP_010447.3	NP_014154.1	binding	658
NP_013924.1	NP_014624.1	binding	988
NP_014013.1	NP_014221.3	binding	319
NP_014788.1	NP_015437.1	binding	900
NP_012018.1	NP_013109.1	binding	224
NP_010665.3	NP_013629.1	binding	720
NP_116636.1	NP_012728.1	binding	319
NP_009717.1	NP_013201.1	binding	508
NP_010748.3	NP_012897.3	binding	920
NP_010365.3	NP_013500.3	binding	967
NP_009655.2	NP_014132.1	binding	267
NP_009365.1	NP_011392.1	binding	948
NP_011586.1	NP_014132.1	binding	224
NP_010578.3	NP_010624.3	binding	235
NP_011075.3	NP_011445.1	binding	947
NP_009621.3	NP_013633.1	binding	337
NP_012070.3	NP_014904.3	binding	985
NP_012273.1	NP_014547.1	binding	985
NP_013204.1	NP_014138.1	binding	971
NP_010339.1	NP_010551.1	binding	242
NP_010321.1	NP_014093.1	binding	781
NP_012017.1	NP_013879.1	binding	265
NP_116696.2	NP_015513.1	binding	275
NP_011517.1	NP_013228.1	binding	159
NP_012636.1	NP_013125.1	binding	985
NP_013513.3	NP_014849.3	binding	847
NP_011668.3	NP_012450.1	binding	187
NP_014214.1	NP_014093.1	binding	264
NP_012504.3	NP_014003.1	binding	223
NP_011281.1	NP_012450.1	binding	985
NP_010186.1	NP_014685.1	binding	197
NP_010585.3	NP_015470.1	binding	900
NP_010239.1	NP_012543.3	binding	304
NP_011604.3	NP_011605.1	binding	336
NP_010181.2	NP_012809.1	binding	891
NP_012018.1	NP_015199.1	binding	967
NP_010254.1	NP_015261.1	binding	188
NP_011711.3	NP_013502.3	binding	657
NP_011568.3	NP_014003.1	binding	199
NP_010748.3	NP_011075.3	binding	901
NP_011309.1	NP_013271.1	binding	919
NP_014860.1	NP_015317.1	binding	299
NP_010459.1	NP_014151.1	binding	173
NP_010707.3	NP_014991.1	binding	879
NP_010748.3	NP_013611.1	binding	940
NP_012466.1	NP_013064.1	binding	188
NP_009621.3	NP_013298.1	binding	194
NP_010611.3	NP_013727.1	binding	900
NP_116654.1	NP_013727.1	binding	900
NP_010585.3	NP_010611.3	binding	900
NP_012123.1	NP_012569.1	binding	968
NP_010877.3	NP_012018.1	binding	153
NP_011309.1	NP_014112.1	binding	939
NP_010704.1	NP_012569.1	binding	927
NP_010652.3	NP_010946.3	binding	979
NP_012243.3	NP_015516.1	binding	361
NP_011098.3	NP_014508.1	binding	910
NP_010223.1	NP_013847.1	binding	900
NP_015303.1	NP_015158.1	binding	281
NP_011702.1	NP_013064.1	binding	471
NP_010770.3	NP_012845.1	binding	196
NP_011997.1	NP_013474.3	binding	386
NP_011519.3	NP_012778.1	binding	361
NP_011386.2	NP_014147.1	binding	879
NP_116636.1	NP_014853.3	binding	985
NP_010757.3	NP_012655.3	binding	211
NP_010254.1	NP_012332.1	binding	997
NP_014262.3	NP_014192.1	binding	267
NP_010786.3	NP_013179.1	binding	900
NP_010611.3	NP_013103.1	binding	900
NP_013126.1	NP_014357.1	binding	646
NP_010649.1	NP_014359.3	binding	900
NP_015419.1	NP_015513.1	binding	175
NP_012602.3	NP_014126.1	binding	245
NP_012018.1	NP_014267.1	binding	951
NP_010373.3	NP_010529.3	binding	153
NP_009712.1	NP_014853.3	binding	985
NP_012924.2	NP_012883.1	binding	985
NP_011762.1	NP_013105.1	binding	260
NP_011100.1	NP_013795.1	binding	269
NP_116684.3	NP_011309.1	binding	290
NP_013293.1	NP_015366.1	binding	932
NP_010167.1	NP_014608.1	binding	222
NP_010304.3	NP_010770.3	binding	831
NP_013879.1	NP_014093.1	binding	923
NP_011848.1	NP_014221.3	binding	985
NP_012123.1	NP_015303.1	binding	966
NP_009637.1	NP_015089.1	binding	261
NP_010401.1	NP_010460.1	binding	198
NP_011605.1	NP_014788.1	binding	282
NP_009701.3	NP_009810.3	binding	361
NP_116710.1	NP_011833.1	binding	726
NP_012505.1	NP_012927.3	binding	608
NP_009734.1	NP_013309.1	binding	428
NP_011605.1	NP_012823.2	binding	267
NP_012916.1	NP_015141.1	binding	294
NP_010223.1	NP_014930.1	binding	900
NP_013298.1	NP_015057.1	binding	900
NP_116659.1	NP_011848.1	binding	232
NP_011651.3	NP_014800.3	binding	985
NP_011651.3	NP_014902.3	binding	985
NP_011674.3	NP_012202.1	binding	281
NP_011504.3	NP_014045.1	binding	985
NP_010888.1	NP_011437.3	binding	449
NP_011617.1	NP_014091.1	binding	958
NP_011089.4	NP_012123.1	binding	922
NP_012524.3	NP_013513.3	binding	900
NP_009551.2	NP_014788.1	binding	933
NP_010206.1	NP_010365.3	binding	974
NP_010133.1	NP_013811.1	binding	985
NP_010742.1	NP_012728.1	binding	227
NP_009645.1	NP_014561.1	binding	298
NP_013323.1	NP_014788.1	binding	933
NP_010646.4	NP_013846.1	binding	900
NP_009827.3	NP_011736.1	binding	674
NP_010704.1	NP_013777.1	binding	218
NP_009557.1	NP_015208.1	binding	426
NP_012018.1	NP_012175.1	binding	922
NP_010080.1	NP_014517.1	binding	800
NP_011748.3	NP_013618.1	binding	951
NP_012584.3	NP_014175.1	binding	448
NP_012778.1	NP_015419.1	binding	301
NP_009806.3	NP_013298.1	binding	900
NP_009479.1	NP_014802.3	binding	902
NP_009388.2	NP_011523.3	binding	540
NP_009810.3	NP_010624.3	binding	982
NP_116708.1	NP_012777.1	binding	985
NP_116647.1	NP_013107.1	binding	286
NP_011084.1	NP_013363.1	binding	537
NP_014837.1	NP_014867.1	binding	985
NP_010181.2	NP_012569.1	binding	203
NP_009704.1	NP_009975.1	binding	879
NP_009551.2	NP_014017.1	binding	911
NP_009872.1	NP_013764.1	binding	900
NP_012346.1	NP_013879.1	binding	202
NP_009929.1	NP_012017.1	binding	311
NP_009990.1	NP_011092.1	binding	590
NP_010532.3	NP_014758.3	binding	985
NP_010206.1	NP_010448.1	binding	280
NP_009365.1	NP_010942.1	binding	900
NP_012466.1	NP_014221.3	binding	900
NP_010376.3	NP_011078.3	binding	660
NP_009469.2	NP_013105.1	binding	609
NP_010253.2	NP_012949.1	binding	300
NP_010917.3	NP_015282.1	binding	900
NP_011848.1	NP_014214.1	binding	296
NP_011344.1	NP_015107.1	binding	985
NP_009796.1	NP_011037.3	binding	274
NP_010888.1	NP_012823.2	binding	963
NP_010584.1	NP_010665.3	binding	724
NP_013066.1	NP_014017.1	binding	908
NP_009917.1	NP_014896.3	binding	811
NP_010330.1	NP_015203.1	binding	319
NP_010253.2	NP_015089.1	binding	175
NP_013230.1	NP_014091.1	binding	951
NP_012916.1	NP_014289.1	binding	900
NP_014527.1	NP_015312.1	binding	879
NP_009984.1	NP_012949.1	binding	513
NP_011617.1	NP_013956.1	binding	900
NP_012202.1	NP_012599.3	binding	982
NP_012325.1	NP_013292.1	binding	971
NP_010133.1	NP_012039.1	binding	955
NP_013879.1	NP_014788.1	binding	256
NP_012592.1	NP_013271.1	binding	768
NP_009790.3	NP_010870.1	binding	727
NP_012927.3	NP_015335.1	binding	211
NP_009404.1	NP_011089.4	binding	173
NP_009841.1	NP_015141.1	binding	842
NP_011848.1	NP_014434.1	binding	296
NP_014434.1	NP_015425.1	binding	670
NP_009975.1	NP_010624.3	binding	879
NP_009621.3	NP_015489.1	binding	267
NP_010917.3	NP_116656.1	binding	905
NP_009370.1	NP_014893.1	binding	339
NP_011386.2	NP_013544.1	binding	761
NP_011736.1	NP_013109.1	binding	296
NP_009700.1	NP_014338.3	binding	724
NP_009984.1	NP_011617.1	binding	982
NP_012845.1	NP_014802.3	binding	270
NP_009761.4	NP_010777.3	binding	974
NP_011437.3	NP_015113.1	binding	900
NP_009637.1	NP_010736.3	binding	954
NP_012175.1	NP_015199.1	binding	915
NP_010695.1	NP_011966.1	binding	428
NP_011372.3	NP_012727.1	binding	248
NP_009712.1	NP_011577.3	binding	985
NP_011859.1	NP_012346.1	binding	224
NP_012461.1	NP_013107.1	binding	286
NP_012925.3	NP_015493.1	binding	714
NP_011302.1	NP_013642.1	binding	307
NP_013725.1	NP_014449.1	binding	660
NP_010863.1	NP_015345.1	binding	746
NP_009929.1	NP_014093.1	binding	338
NP_010138.1	NP_012520.1	binding	985
NP_010529.3	NP_011605.1	binding	905
NP_012070.3	NP_015085.1	binding	197
NP_012369.1	NP_014708.1	binding	998
NP_014214.1	NP_014811.3	binding	224
NP_014267.1	NP_015470.1	binding	951
NP_011486.1	NP_015113.1	binding	900
NP_010606.1	NP_014156.2	binding	527
NP_014126.1	NP_015317.1	binding	355
NP_009617.3	NP_010917.3	binding	219
NP_010079.1	NP_012346.1	binding	224
NP_010585.3	NP_012501.1	binding	759
NP_012381.1	NP_015002.3	binding	985
NP_010115.1	NP_013611.1	binding	586
NP_011617.1	NP_015199.1	binding	900
NP_014788.1	NP_015107.1	binding	933
NP_011018.1	NP_013408.1	binding	274
NP_010524.3	NP_012530.1	binding	396
NP_011859.1	NP_012923.3	binding	965
NP_010888.1	NP_012466.1	binding	967
NP_013105.1	NP_014853.3	binding	947
NP_012712.1	NP_014404.3	binding	286
NP_010136.1	NP_014015.1	binding	325
NP_011075.3	NP_012797.1	binding	470
NP_013066.1	NP_015113.1	binding	900
NP_014338.3	NP_014849.3	binding	900
NP_009813.1	NP_013370.1	binding	966
NP_011437.3	NP_014802.3	binding	232
NP_013544.1	NP_014147.1	binding	879
NP_011956.1	NP_013109.1	binding	910
NP_012535.3	NP_013230.1	binding	985
NP_009923.2	NP_015438.1	binding	247
NP_014775.3	NP_015002.3	binding	211
NP_009806.3	NP_010888.1	binding	264
NP_011075.3	NP_014248.3	binding	900
NP_014286.1	NP_014400.1	binding	972
NP_116659.1	NP_015428.1	binding	985
NP_012916.1	NP_015312.1	binding	275
NP_009635.1	NP_116659.1	binding	336
NP_012924.2	NP_013794.1	binding	985
NP_011516.1	NP_013341.1	binding	258
NP_010737.1	NP_011661.2	binding	910
NP_013707.1	NP_015069.1	binding	609
NP_010223.1	NP_014633.1	binding	900
NP_014040.1	NP_015006.3	binding	995
NP_012636.1	NP_015323.1	binding	985
NP_012875.2	NP_015324.1	binding	274
NP_010345.3	NP_015282.1	binding	900
NP_014393.1	NP_014434.1	binding	879
NP_009992.1	NP_014003.1	binding	282
NP_011668.3	NP_013585.1	binding	439
NP_013093.1	NP_014689.1	binding	910
NP_014045.1	NP_015428.1	binding	985
NP_012864.1	NP_013777.1	binding	863
NP_012017.1	NP_015141.1	binding	290
NP_012989.3	NP_013007.1	binding	720
NP_010692.3	NP_014400.1	binding	361
NP_010692.3	NP_012897.3	binding	966
NP_116650.1	NP_015502.1	binding	951
NP_014867.1	NP_015203.1	binding	985
NP_009776.1	NP_015176.1	binding	969
NP_011777.3	NP_015354.1	binding	900
NP_009700.1	NP_015282.1	binding	734
NP_010115.1	NP_014867.1	binding	522
NP_010253.2	NP_014017.1	binding	910
NP_013777.1	NP_015147.1	binding	181
NP_116696.2	NP_012875.2	binding	292
NP_012989.3	NP_014324.3	binding	258
NP_010066.1	NP_014608.1	binding	654
NP_010737.1	NP_014017.1	binding	911
NP_011674.3	NP_012426.1	binding	205
NP_010757.3	NP_011987.1	binding	940
NP_012505.1	NP_012725.1	binding	307
NP_009370.1	NP_014015.1	binding	854
NP_014391.1	NP_014670.1	binding	497
NP_012903.1	NP_013228.1	binding	998
NP_011734.3	NP_013999.1	binding	611
NP_012331.1	NP_013267.1	binding	588
NP_012845.1	NP_015470.1	binding	914
NP_009370.1	NP_015174.1	binding	976
NP_009621.3	NP_015174.1	binding	992
NP_010161.1	NP_014493.1	binding	303
NP_012040.1	NP_015156.1	binding	900
NP_010624.3	NP_014040.1	binding	280
NP_009637.1	NP_116659.1	binding	481
NP_009984.1	NP_015463.1	binding	985
NP_011472.1	NP_014286.1	binding	280
NP_011519.3	NP_012897.3	binding	976
NP_014547.1	NP_015435.1	binding	190
NP_009734.1	NP_015077.1	binding	246
NP_012631.3	NP_014335.1	binding	439
NP_009359.1	NP_011039.1	binding	808
NP_010223.1	NP_014017.1	binding	910
NP_010255.1	NP_012599.3	binding	998
NP_010715.3	NP_012259.3	binding	975
NP_009990.1	NP_011437.3	binding	272
NP_011344.1	NP_013513.3	binding	985
NP_012535.3	NP_015470.1	binding	985
NP_011848.1	NP_013705.1	binding	364
NP_010287.1	NP_015317.1	binding	214
NP_011997.1	NP_014900.3	binding	491
NP_009810.3	NP_015006.3	binding	202
NP_012426.1	NP_013298.1	binding	985
NP_010413.3	NP_013065.1	binding	268
NP_012875.2	NP_012725.1	binding	304
NP_009637.1	NP_014986.3	binding	323
NP_011504.3	NP_011651.3	binding	985
NP_010717.1	NP_011392.1	binding	985
NP_014003.1	NP_014093.1	binding	175
NP_009530.1	NP_009871.2	binding	900
NP_011774.1	NP_014547.1	binding	909
NP_010737.1	NP_015057.1	binding	900
NP_009871.2	NP_014126.1	binding	900
NP_009635.1	NP_010942.1	binding	988
NP_009370.1	NP_009990.1	binding	905
NP_014377.1	NP_015309.1	binding	239
NP_010946.3	NP_013064.1	binding	991
NP_013379.1	NP_014177.1	binding	959
NP_011605.1	NP_014015.1	binding	905
NP_011344.1	NP_013323.1	binding	985
NP_013697.1	NP_013963.1	binding	985
NP_012424.1	NP_014187.1	binding	683
NP_011392.1	NP_013602.1	binding	879
NP_009984.1	NP_011604.3	binding	985
