Protein_1	Protein_2	Type	Score
NP_012927.3	NP_014015.1	binding	175
NP_009872.1	NP_015057.1	binding	900
NP_014015.1	NP_014175.1	binding	495
NP_010133.1	NP_014175.1	binding	904
NP_011309.1	NP_011966.1	binding	913
NP_013618.1	NP_015433.1	binding	985
NP_010652.3	NP_011586.1	binding	474
NP_011645.3	NP_012728.1	binding	193
NP_010236.1	NP_012056.1	binding	163
NP_010232.1	NP_014867.1	binding	256
NP_011675.1	NP_013007.1	binding	185
NP_010330.1	NP_014867.1	binding	967
NP_010664.3	NP_116635.1	binding	223
NP_012450.1	NP_013647.1	binding	163
NP_009990.1	NP_011645.3	binding	879
NP_010206.1	NP_013958.1	binding	974
NP_010079.1	NP_014609.1	binding	224
NP_014400.1	NP_015335.1	binding	765
NP_011702.1	NP_012988.1	binding	767
NP_012018.1	NP_014811.3	binding	190
NP_011950.1	NP_012732.1	binding	286
NP_012431.1	NP_013360.1	binding	905
NP_012466.1	NP_015313.1	binding	900
NP_010167.1	NP_013451.1	binding	309
NP_013065.1	NP_014217.1	binding	884
NP_015262.1	NP_015513.1	binding	185
NP_013705.1	NP_013956.1	binding	342
NP_010125.1	NP_011098.3	binding	448
NP_009806.3	NP_014434.1	binding	267
NP_014930.1	NP_015199.1	binding	909
NP_013103.1	NP_015437.1	binding	903
NP_010692.3	NP_011098.3	binding	973
NP_013007.1	NP_014017.1	binding	900
NP_012148.1	NP_012599.3	binding	175
NP_011447.1	NP_013956.1	binding	342
NP_009796.1	NP_011437.3	binding	373
NP_014633.1	NP_015463.1	binding	967
NP_011577.3	NP_012395.1	binding	985
NP_013109.1	NP_014434.1	binding	264
NP_010086.2	NP_013701.1	binding	470
NP_011437.3	NP_012292.3	binding	900
NP_009551.2	NP_010128.1	binding	942
NP_011467.1	NP_012777.1	binding	985
NP_009806.3	NP_013879.1	binding	272
NP_014508.1	NP_015513.1	binding	913
NP_013204.1	NP_013763.1	binding	950
NP_014337.3	NP_014517.1	binding	800
NP_010232.1	NP_012203.1	binding	327
NP_012777.1	NP_014904.3	binding	985
NP_010448.1	NP_010610.3	binding	319
NP_009796.1	NP_010254.1	binding	640
NP_012017.1	NP_014434.1	binding	264
NP_010345.3	NP_011344.1	binding	720
NP_009621.3	NP_015111.1	binding	914
NP_009827.3	NP_014393.1	binding	879
NP_011604.3	NP_013103.1	binding	914
NP_013187.1	NP_013374.1	binding	985
NP_009990.1	NP_013847.1	binding	288
NP_010888.1	NP_013987.1	binding	306
NP_012024.1	NP_014149.1	binding	290
NP_011956.1	NP_013093.1	binding	910
NP_010532.3	NP_011966.1	binding	216
NP_010065.2	NP_013866.1	binding	267
NP_011344.1	NP_011604.3	binding	985
NP_014357.1	NP_014112.1	binding	537
NP_010128.1	NP_011605.1	binding	336
NP_010244.1	NP_014896.3	binding	967
NP_013544.1	NP_015425.1	binding	879
NP_012070.3	NP_012190.1	binding	985
NP_011956.1	NP_014849.3	binding	950
NP_009701.3	NP_010624.3	binding	361
NP_116665.1	NP_012070.3	binding	985
NP_013879.1	NP_013918.1	binding	275
NP_014192.1	NP_014434.1	binding	267
NP_014621.1	NP_014643.1	binding	985
NP_010236.1	NP_012626.1	binding	211
NP_013105.1	NP_015335.1	binding	243
NP_010942.1	NP_010953.1	binding	181
NP_009637.1	NP_012569.1	binding	199
NP_012123.1	NP_012602.3	binding	928
NP_011687.1	NP_014609.1	binding	156
NP_011605.1	NP_013967.1	binding	769
NP_012123.1	NP_015435.1	binding	267
NP_116609.1	NP_011450.1	binding	297
NP_011386.2	NP_014093.1	binding	930
NP_012934.1	NP_013292.1	binding	922
NP_010232.1	NP_010447.3	binding	211
NP_010330.1	NP_010594.3	binding	157
NP_010756.3	NP_010772.1	binding	703
NP_009992.1	NP_010877.3	binding	282
NP_009919.3	NP_013125.1	binding	982
NP_010167.1	NP_011634.1	binding	915
NP_013008.3	NP_015156.1	binding	252
NP_010181.2	NP_014551.1	binding	571
NP_014335.1	NP_014649.1	binding	900
NP_011392.1	NP_012923.3	binding	361
NP_009813.1	NP_012725.1	binding	941
NP_116636.1	NP_014382.1	binding	211
NP_013066.1	NP_013126.1	binding	248
NP_012017.1	NP_014811.3	binding	224
NP_013309.1	NP_014112.1	binding	962
NP_010946.3	NP_012270.1	binding	554
NP_010611.3	NP_012175.1	binding	985
NP_012989.3	NP_014217.1	binding	884
NP_012259.3	NP_013618.1	binding	905
NP_012778.1	NP_014986.3	binding	296
NP_010012.1	NP_014261.1	binding	808
NP_014903.1	NP_015486.1	binding	194
NP_011392.1	NP_013482.1	binding	400
NP_010917.3	NP_116654.1	binding	787
NP_009635.1	NP_014093.1	binding	266
NP_012523.2	NP_015435.1	binding	976
NP_116659.1	NP_014800.3	binding	985
NP_014324.3	NP_014091.1	binding	955
NP_010133.1	NP_015437.1	binding	929
NP_010326.1	NP_011372.3	binding	507
NP_009370.1	NP_012728.1	binding	319
NP_011605.1	NP_013811.1	binding	336
NP_010223.1	NP_014262.3	binding	268
NP_013764.1	NP_014452.1	binding	482
NP_011604.3	NP_012524.3	binding	900
NP_013230.1	NP_013956.1	binding	985
NP_013066.1	NP_014451.1	binding	908
NP_012727.1	NP_015141.1	binding	495
NP_009404.1	NP_012445.1	binding	563
NP_009404.1	NP_012445.1	binding	522
NP_013764.1	NP_015156.1	binding	900
NP_013727.1	NP_014788.1	binding	900
NP_013527.3	NP_015511.1	binding	793
NP_012524.3	NP_013323.1	binding	900
NP_012532.3	NP_014728.1	binding	937
NP_010914.3	NP_011848.1	binding	194
NP_011386.2	NP_011731.3	binding	905
NP_011437.3	NP_013218.1	binding	227
NP_014624.1	NP_014718.1	binding	906
NP_011309.1	NP_012592.1	binding	966
NP_011736.1	NP_014527.1	binding	905
NP_010310.1	NP_012668.3	binding	260
NP_013323.1	NP_013811.1	binding	985
NP_013179.1	NP_015315.1	binding	415
NP_010692.3	NP_011762.1	binding	319
NP_009704.1	NP_014214.1	binding	905
NP_009694.3	NP_011018.1	binding	274
NP_011617.1	NP_013727.1	binding	928
NP_009645.1	NP_010117.1	binding	985
NP_116659.1	NP_015007.1	binding	985
NP_013502.3	NP_014499.2	binding	604
NP_009810.3	NP_013705.1	binding	709
NP_009370.1	NP_010447.3	binding	905
NP_012897.3	NP_014837.1	binding	965
NP_010304.3	NP_012913.3	binding	161
NP_009810.3	NP_014262.3	binding	928
NP_010624.3	NP_012916.1	binding	296
NP_631876.1	NP_012872.2	binding	900
NP_013298.1	NP_015419.1	binding	338
NP_011956.1	NP_012466.1	binding	361
NP_013956.1	NP_014393.1	binding	342
NP_011344.1	NP_013956.1	binding	985
NP_012778.1	NP_015174.1	binding	247
NP_009365.1	NP_010624.3	binding	317
NP_010761.3	NP_010770.3	binding	292
NP_010529.3	NP_013218.1	binding	175
NP_014436.1	NP_015469.1	binding	900
NP_009367.1	NP_012872.2	binding	900
NP_009475.1	NP_009738.1	binding	242
NP_009796.1	NP_010704.1	binding	159
NP_010133.1	NP_014930.1	binding	967
NP_009734.1	NP_015348.1	binding	271
NP_010326.1	NP_010888.1	binding	248
NP_009810.3	NP_010326.1	binding	982
NP_011711.3	NP_015515.1	binding	962
NP_012636.1	NP_015499.1	binding	303
NP_011774.1	NP_012586.1	binding	900
NP_009872.1	NP_014849.3	binding	720
NP_010232.1	NP_013633.1	binding	198
NP_014017.1	NP_015282.1	binding	900
NP_010877.3	NP_012017.1	binding	175
NP_010512.1	NP_015335.1	binding	185
NP_010287.1	NP_012445.1	binding	334
NP_009990.1	NP_014867.1	binding	175
NP_011604.3	NP_014930.1	binding	908
NP_011840.1	NP_012672.1	binding	900
NP_012203.1	NP_013777.1	binding	288
NP_011674.3	NP_014621.1	binding	985
NP_010786.3	NP_014718.1	binding	963
NP_010138.1	NP_012424.1	binding	985
NP_010717.1	NP_010877.3	binding	260
NP_014091.1	NP_014788.1	binding	900
NP_011848.1	NP_012173.3	binding	169
NP_012017.1	NP_012346.1	binding	224
NP_011386.2	NP_015141.1	binding	768
NP_012823.2	NP_013298.1	binding	964
NP_010877.3	NP_014900.3	binding	927
NP_013109.1	NP_014793.1	binding	264
NP_010770.3	NP_015111.1	binding	715
NP_013408.1	NP_014493.1	binding	263
NP_010161.1	NP_015069.1	binding	150
NP_010877.3	NP_011833.1	binding	735
NP_010736.3	NP_013408.1	binding	273
NP_011053.1	NP_014788.1	binding	311
NP_010692.3	NP_014853.3	binding	985
NP_009827.3	NP_011447.1	binding	507
NP_009975.1	NP_010401.1	binding	956
NP_013230.1	NP_015057.1	binding	900
NP_011523.3	NP_013924.1	binding	856
NP_116615.1	NP_014112.1	binding	900
NP_011062.1	NP_012148.1	binding	920
NP_014849.3	NP_015469.1	binding	967
NP_010784.1	NP_010953.1	binding	900
NP_010626.1	NP_011604.3	binding	908
NP_014837.1	NP_014986.3	binding	336
NP_010186.1	NP_010938.1	binding	985
NP_011547.3	NP_014414.3	binding	968
NP_012924.2	NP_015241.1	binding	311
NP_014091.1	NP_015107.1	binding	947
NP_010401.1	NP_014147.1	binding	879
NP_010597.3	NP_011774.1	binding	985
NP_013189.1	NP_013564.1	binding	984
NP_010529.3	NP_011645.3	binding	194
NP_012395.1	NP_015513.1	binding	985
NP_012039.1	NP_012823.2	binding	985
NP_013617.1	NP_014324.3	binding	985
NP_014393.1	NP_015425.1	binding	761
NP_009872.1	NP_009984.1	binding	985
NP_011523.3	NP_013370.1	binding	953
NP_116709.3	NP_011966.1	binding	763
NP_010254.1	NP_012584.3	binding	244
NP_014015.1	NP_014382.1	binding	250
NP_011457.1	NP_012942.3	binding	924
NP_009841.1	NP_011392.1	binding	269
NP_012395.1	NP_015335.1	binding	513
NP_011859.1	NP_012018.1	binding	224
NP_009652.2	NP_012202.1	binding	288
NP_012823.2	NP_013811.1	binding	963
NP_010117.1	NP_015303.1	binding	268
NP_011437.3	NP_011586.1	binding	242
NP_010529.3	NP_012823.2	binding	183
NP_011075.3	NP_012523.2	binding	901
NP_011929.1	NP_014117.1	binding	900
NP_010888.1	NP_012332.1	binding	307
NP_009356.1	NP_012203.1	binding	197
NP_013502.3	NP_014167.1	binding	656
NP_011949.1	NP_014167.1	binding	941
NP_010255.1	NP_013533.1	binding	629
NP_010784.1	NP_013007.1	binding	900
NP_009810.3	NP_013602.1	binding	365
NP_013103.1	NP_013764.1	binding	907
NP_009984.1	NP_014452.1	binding	646
NP_012912.1	NP_014784.1	binding	280
NP_009984.1	NP_015057.1	binding	900
NP_011645.3	NP_015489.1	binding	199
NP_012533.1	NP_014800.3	binding	985
NP_010626.1	NP_012018.1	binding	985
NP_010401.1	NP_014793.1	binding	879
NP_009847.4	NP_013924.1	binding	250
NP_010690.1	NP_013201.1	binding	155
NP_009404.1	NP_014132.1	binding	173
NP_011437.3	NP_012040.1	binding	900
NP_014633.1	NP_014930.1	binding	908
NP_010276.3	NP_012903.1	binding	988
NP_012122.3	NP_013714.1	binding	885
NP_013175.1	NP_013764.1	binding	913
NP_010569.3	NP_010975.3	binding	355
NP_014980.3	NP_015433.1	binding	295
NP_013652.1	NP_014818.1	binding	230
NP_012544.1	NP_013167.1	binding	982
NP_010652.3	NP_011645.3	binding	879
NP_010621.1	NP_015089.1	binding	976
NP_011604.3	NP_013323.1	binding	985
NP_010304.3	NP_013248.1	binding	905
NP_014017.1	NP_015463.1	binding	911
NP_012626.1	NP_013777.1	binding	976
NP_009635.1	NP_011848.1	binding	967
NP_010080.1	NP_014444.1	binding	824
NP_010707.3	NP_015303.1	binding	319
NP_010917.3	NP_013175.1	binding	910
NP_014093.1	NP_014609.1	binding	224
NP_012039.1	NP_014452.1	binding	465
NP_009469.2	NP_014227.4	binding	998
NP_012535.3	NP_014930.1	binding	929
NP_013834.1	NP_014839.1	binding	662
NP_010345.3	NP_014091.1	binding	749
NP_010715.3	NP_012070.3	binding	985
NP_009392.2	NP_009351.1	binding	906
NP_011774.1	NP_015303.1	binding	985
NP_009637.1	NP_015187.1	binding	173
NP_010003.2	NP_014968.1	binding	662
NP_010953.1	NP_015341.1	binding	900
NP_010133.1	NP_014324.3	binding	989
NP_010693.3	NP_013544.1	binding	954
NP_009984.1	NP_010133.1	binding	985
NP_012626.1	NP_015147.1	binding	901
NP_014609.1	NP_015165.1	binding	254
NP_010770.3	NP_011445.1	binding	172
NP_011519.3	NP_011702.1	binding	982
NP_009806.3	NP_015437.1	binding	900
NP_009701.3	NP_014093.1	binding	336
NP_010529.3	NP_011520.2	binding	922
NP_009694.3	NP_015303.1	binding	840
NP_009356.1	NP_014177.1	binding	962
NP_010748.3	NP_012569.1	binding	911
NP_010946.3	NP_014867.1	binding	927
NP_009645.1	NP_010877.3	binding	400
NP_010938.1	NP_014045.1	binding	985
NP_013204.1	NP_015461.1	binding	900
NP_010772.1	NP_012668.3	binding	443
NP_012916.1	NP_014338.3	binding	900
NP_012445.1	NP_014132.1	binding	167
NP_012923.3	NP_014013.1	binding	235
NP_116579.1	NP_015373.1	binding	336
NP_009403.1	NP_009712.1	binding	428
NP_012520.1	NP_013360.1	binding	351
NP_012823.2	NP_012949.1	binding	489
NP_116659.1	NP_012533.1	binding	985
NP_014324.3	NP_015199.1	binding	985
NP_013967.1	NP_014382.1	binding	244
NP_013847.1	NP_015199.1	binding	985
NP_012523.2	NP_014286.1	binding	972
NP_009370.1	NP_011607.3	binding	536
NP_010715.3	NP_011892.1	binding	985
NP_010888.1	NP_015335.1	binding	198
NP_012913.3	NP_012927.3	binding	189
NP_010326.1	NP_011447.1	binding	711
NP_116696.2	NP_012504.3	binding	194
NP_009712.1	NP_013248.1	binding	922
NP_011437.3	NP_014565.2	binding	900
NP_010529.3	NP_116660.1	binding	905
NP_011617.1	NP_013066.1	binding	900
NP_010652.3	NP_011605.1	binding	446
NP_009635.1	NP_013866.1	binding	991
NP_010587.1	NP_013777.1	binding	976
NP_010450.3	NP_013647.1	binding	158
NP_012501.1	NP_013811.1	binding	752
NP_010938.1	NP_011786.1	binding	286
NP_116710.1	NP_012259.3	binding	974
NP_010529.3	NP_013230.1	binding	258
NP_012039.1	NP_015437.1	binding	910
NP_116708.1	NP_011651.3	binding	985
NP_011711.3	NP_014621.1	binding	985
NP_012395.1	NP_012865.1	binding	972
NP_009975.1	NP_010326.1	binding	772
NP_116708.1	NP_011786.1	binding	286
NP_010529.3	NP_013967.1	binding	924
NP_011075.3	NP_012243.3	binding	947
NP_011321.1	NP_012569.1	binding	183
NP_010611.3	NP_015437.1	binding	900
NP_010304.3	NP_116660.1	binding	152
NP_010365.3	NP_013958.1	binding	976
NP_014800.3	NP_015007.1	binding	985
NP_010009.1	NP_012122.3	binding	540
NP_010863.1	NP_012655.3	binding	920
NP_010737.1	NP_011604.3	binding	985
NP_010376.3	NP_011437.3	binding	900
NP_012916.1	NP_014013.1	binding	224
NP_011445.1	NP_014985.1	binding	319
NP_009806.3	NP_009810.3	binding	269
NP_011661.2	NP_013764.1	binding	928
NP_012411.1	NP_013248.1	binding	264
NP_009530.1	NP_014217.1	binding	900
NP_010610.3	NP_013500.3	binding	319
NP_010133.1	NP_013956.1	binding	985
NP_011472.1	NP_014867.1	binding	985
NP_012040.1	NP_014849.3	binding	900
NP_009976.1	NP_013847.1	binding	659
NP_009796.1	NP_010478.3	binding	218
NP_010786.3	NP_011832.1	binding	900
NP_009796.1	NP_015147.1	binding	224
NP_014547.1	NP_014860.1	binding	987
NP_013175.1	NP_014436.1	binding	900
NP_009645.1	NP_015435.1	binding	355
NP_013370.1	NP_013924.1	binding	936
NP_010888.1	NP_012039.1	binding	922
NP_010784.1	NP_011437.3	binding	900
NP_011504.3	NP_015007.1	binding	985
NP_011303.1	NP_013924.1	binding	940
NP_009359.1	NP_009759.3	binding	973
NP_116709.3	NP_015315.1	binding	985
NP_010065.2	NP_013879.1	binding	211
NP_012916.1	NP_014451.1	binding	910
NP_010953.1	NP_011437.3	binding	900
NP_010863.1	NP_011534.1	binding	985
NP_011372.3	NP_013544.1	binding	237
NP_009551.2	NP_012039.1	binding	912
NP_011100.1	NP_012879.1	binding	229
NP_009370.1	NP_012243.3	binding	224
NP_011736.1	NP_014093.1	binding	296
NP_116615.1	NP_011832.1	binding	237
NP_009975.1	NP_014830.1	binding	576
NP_009738.1	NP_015176.1	binding	309
NP_011392.1	NP_013109.1	binding	296
NP_011631.1	NP_015458.1	binding	966
NP_013230.1	NP_014930.1	binding	916
NP_012843.1	NP_013552.3	binding	988
NP_014565.2	NP_015232.1	binding	900
NP_010402.3	NP_013879.1	binding	293
NP_116708.1	NP_012533.1	binding	985
NP_009872.1	NP_013811.1	binding	978
NP_010326.1	NP_012923.3	binding	969
NP_011668.3	NP_015015.1	binding	239
NP_116708.1	NP_011467.1	binding	985
NP_009694.3	NP_116674.2	binding	206
NP_010682.3	NP_014902.3	binding	985
NP_012035.1	NP_015261.1	binding	337
NP_009872.1	NP_012845.1	binding	908
NP_011472.1	NP_014151.1	binding	173
NP_010652.3	NP_012243.3	binding	428
NP_014621.1	NP_015515.1	binding	942
NP_013102.1	NP_014338.3	binding	900
NP_011075.3	NP_012395.1	binding	947
NP_013323.1	NP_013727.1	binding	909
NP_014015.1	NP_015335.1	binding	204
NP_010186.1	NP_015428.1	binding	985
NP_116659.1	NP_011517.1	binding	267
NP_009759.3	NP_014905.1	binding	163
NP_012809.1	NP_015158.1	binding	163
NP_012903.1	NP_014227.4	binding	998
NP_010133.1	NP_010611.3	binding	985
NP_011661.2	NP_013323.1	binding	910
NP_011308.1	NP_015344.1	binding	900
NP_010253.2	NP_014338.3	binding	908
NP_011100.1	NP_013105.1	binding	248
NP_009935.1	NP_010606.1	binding	237
NP_012823.2	NP_014262.3	binding	267
NP_116654.1	NP_015113.1	binding	610
NP_010133.1	NP_012845.1	binding	925
NP_010942.1	NP_014221.3	binding	985
NP_010585.3	NP_116654.1	binding	908
NP_009734.1	NP_014896.3	binding	270
NP_011308.1	NP_013376.1	binding	900
NP_011997.1	NP_013810.1	binding	223
NP_013066.1	NP_014630.1	binding	163
NP_013264.1	NP_015153.1	binding	256
NP_013513.3	NP_013811.1	binding	985
NP_014093.1	NP_014788.1	binding	290
NP_010748.3	NP_014853.3	binding	901
NP_009761.4	NP_013642.1	binding	900
NP_010707.3	NP_015335.1	binding	296
NP_011504.3	NP_015428.1	binding	985
NP_010748.3	NP_011308.1	binding	940
NP_013293.1	NP_013866.1	binding	976
NP_013323.1	NP_013617.1	binding	985
NP_011597.1	NP_012540.3	binding	985
NP_011075.3	NP_015317.1	binding	288
NP_015239.1	NP_015224.1	binding	985
NP_012540.3	NP_013394.1	binding	970
NP_011447.1	NP_013544.1	binding	878
NP_013105.1	NP_015203.1	binding	997
NP_013007.1	NP_013175.1	binding	900
NP_011605.1	NP_013230.1	binding	336
NP_010674.3	NP_011089.4	binding	231
NP_010186.1	NP_116665.1	binding	985
NP_009810.3	NP_015081.1	binding	365
NP_010585.3	NP_012466.1	binding	900
NP_010888.1	NP_015261.1	binding	268
NP_013705.1	NP_015312.1	binding	733
NP_011956.1	NP_014017.1	binding	910
NP_010017.2	NP_010136.1	binding	603
NP_012243.3	NP_014286.1	binding	863
NP_012332.1	NP_013248.1	binding	928
NP_009551.2	NP_010345.3	binding	749
NP_010737.1	NP_013764.1	binding	976
NP_010578.3	NP_012017.1	binding	275
NP_013764.1	NP_015107.1	binding	959
NP_012749.1	NP_014289.1	binding	900
NP_010138.1	NP_014663.1	binding	267
NP_010304.3	NP_010717.1	binding	911
NP_116656.1	NP_014289.1	binding	900
NP_009621.3	NP_010304.3	binding	905
NP_009404.1	NP_011774.1	binding	940
NP_012424.1	NP_014663.1	binding	267
NP_010276.3	NP_116659.1	binding	197
NP_009701.3	NP_014221.3	binding	985
NP_010888.1	NP_012203.1	binding	921
NP_010737.1	NP_013956.1	binding	985
NP_010704.1	NP_012845.1	binding	199
NP_012535.3	NP_014849.3	binding	860
NP_012035.1	NP_015174.1	binding	976
NP_116636.1	NP_012035.1	binding	985
NP_009712.1	NP_011308.1	binding	913
NP_010551.1	NP_010877.3	binding	219
NP_010326.1	NP_013879.1	binding	926
NP_009365.1	NP_012923.3	binding	293
NP_012524.3	NP_013847.1	binding	900
NP_010692.3	NP_014837.1	binding	985
NP_011848.1	NP_014003.1	binding	224
NP_010498.1	NP_012124.1	binding	985
NP_011520.2	NP_012584.3	binding	908
NP_013987.1	NP_014093.1	binding	336
NP_116664.1	NP_012540.3	binding	908
NP_013317.1	NP_014382.1	binding	197
NP_116708.1	NP_011892.1	binding	985
NP_013956.1	NP_014093.1	binding	336
NP_010551.1	NP_014003.1	binding	219
NP_010888.1	NP_011661.2	binding	720
NP_011314.2	NP_011308.1	binding	900
NP_116710.1	NP_015007.1	binding	985
NP_010742.1	NP_014900.3	binding	292
NP_010452.1	NP_014670.1	binding	751
NP_010186.1	NP_012777.1	binding	985
NP_013866.1	NP_014040.1	binding	988
NP_012823.2	NP_015470.1	binding	985
NP_010450.3	NP_012331.1	binding	788
NP_009755.1	NP_012740.1	binding	215
NP_009365.1	NP_010953.1	binding	900
NP_015313.1	NP_015470.1	binding	900
NP_010624.3	NP_012540.3	binding	361
NP_014271.3	NP_014132.1	binding	179
NP_009806.3	NP_009872.1	binding	933
NP_012923.3	NP_013544.1	binding	670
NP_013642.1	NP_015458.1	binding	591
NP_013811.1	NP_015470.1	binding	985
NP_013602.1	NP_014262.3	binding	321
NP_011936.1	NP_014281.1	binding	428
NP_009595.1	NP_010863.1	binding	907
NP_010818.1	NP_012369.1	binding	998
NP_014221.3	NP_015057.1	binding	900
NP_116654.1	NP_012018.1	binding	910
NP_010761.3	NP_015111.1	binding	905
NP_010652.3	NP_012927.3	binding	262
NP_010326.1	NP_014619.1	binding	520
NP_014985.1	NP_014986.3	binding	985
NP_010313.3	NP_013105.1	binding	903
NP_013602.1	NP_014093.1	binding	338
NP_013230.1	NP_014633.1	binding	985
NP_013879.1	NP_015366.1	binding	587
NP_011645.3	NP_012035.1	binding	670
NP_012498.1	NP_015002.3	binding	211
NP_013727.1	NP_015470.1	binding	905
NP_010715.3	NP_116710.1	binding	985
NP_012017.1	NP_014619.1	binding	295
NP_011762.1	NP_014867.1	binding	969
NP_116629.1	NP_013846.1	binding	946
NP_010946.3	NP_015376.1	binding	396
NP_010551.1	NP_012724.1	binding	645
NP_009984.1	NP_014262.3	binding	319
NP_011486.1	NP_015469.1	binding	900
NP_014436.1	NP_014689.1	binding	910
NP_010682.3	NP_010715.3	binding	985
NP_116629.1	NP_013707.1	binding	610
NP_010888.1	NP_014275.3	binding	268
NP_012201.1	NP_015156.1	binding	243
NP_012039.1	NP_015199.1	binding	962
NP_011067.3	NP_014797.1	binding	808
NP_011605.1	NP_012035.1	binding	985
NP_010784.1	NP_014017.1	binding	900
NP_009796.1	NP_015174.1	binding	256
NP_009701.3	NP_011586.1	binding	639
NP_010066.1	NP_011760.3	binding	276
NP_011956.1	NP_013847.1	binding	206
NP_010584.1	NP_011534.1	binding	922
NP_014013.1	NP_014093.1	binding	224
NP_116654.1	NP_011617.1	binding	989
NP_011774.1	NP_015350.1	binding	971
NP_012778.1	NP_014853.3	binding	969
NP_012923.3	NP_015425.1	binding	731
NP_013791.1	NP_014377.1	binding	922
NP_010704.1	NP_012196.1	binding	658
NP_010276.3	NP_014904.3	binding	197
NP_011467.1	NP_014902.3	binding	985
NP_012123.1	NP_014853.3	binding	966
NP_013869.1	NP_015007.1	binding	226
NP_010330.1	NP_012395.1	binding	319
NP_011472.1	NP_014496.2	binding	537
NP_010715.3	NP_014902.3	binding	985
NP_009551.2	NP_011661.2	binding	910
NP_011302.1	NP_015174.1	binding	193
NP_009726.3	NP_011929.1	binding	900
NP_011859.1	NP_014192.1	binding	266
NP_014148.1	NP_015147.1	binding	808
NP_012039.1	NP_013811.1	binding	962
NP_014357.1	NP_014347.1	binding	808
NP_014579.1	NP_015354.1	binding	855
NP_011956.1	NP_014262.3	binding	247
NP_013811.1	NP_015313.1	binding	900
NP_010597.3	NP_012809.1	binding	298
NP_014818.1	NP_015438.1	binding	190
NP_011604.3	NP_011675.1	binding	188
NP_014434.1	NP_015081.1	binding	338
NP_009637.1	NP_009917.1	binding	954
NP_012779.1	NP_014093.1	binding	338
NP_010447.3	NP_013847.1	binding	268
NP_012584.3	NP_015147.1	binding	179
NP_009712.1	NP_010748.3	binding	905
NP_011747.2	NP_012655.3	binding	179
NP_009469.2	NP_015381.1	binding	641
NP_116674.2	NP_012710.1	binding	426
NP_116710.1	NP_013618.1	binding	985
NP_013066.1	NP_015341.1	binding	900
NP_010330.1	NP_014286.1	binding	966
NP_009475.1	NP_014003.1	binding	218
NP_015344.1	NP_015461.1	binding	910
NP_010253.2	NP_013007.1	binding	900
NP_012923.3	NP_012916.1	binding	275
NP_010585.3	NP_013956.1	binding	900
NP_013093.1	NP_014289.1	binding	900
NP_116615.1	NP_011668.3	binding	163
NP_009694.3	NP_012768.1	binding	172
NP_014289.1	NP_014217.1	binding	787
NP_010330.1	NP_012988.1	binding	286
NP_010254.1	NP_011605.1	binding	793
NP_012501.1	NP_013513.3	binding	752
NP_014112.1	NP_015129.1	binding	201
NP_011892.1	NP_015428.1	binding	985
NP_011344.1	NP_014267.1	binding	900
NP_009990.1	NP_012035.1	binding	969
NP_010784.1	NP_013175.1	binding	900
NP_012242.1	NP_012655.3	binding	926
NP_009796.1	NP_010652.3	binding	250
NP_013109.1	NP_014849.3	binding	924
NP_012916.1	NP_013918.1	binding	338
NP_013175.1	NP_014289.1	binding	900
NP_010065.2	NP_010877.3	binding	175
NP_012927.3	NP_013064.1	binding	311
NP_013109.1	NP_013175.1	binding	910
NP_010330.1	NP_011472.1	binding	513
NP_013066.1	NP_013102.1	binding	900
NP_013271.1	NP_014579.1	binding	903
NP_012426.1	NP_013617.1	binding	985
NP_010664.3	NP_014208.1	binding	222
NP_010717.1	NP_015366.1	binding	976
NP_011956.1	NP_013007.1	binding	928
NP_009984.1	NP_011661.2	binding	910
NP_009917.1	NP_010461.3	binding	982
NP_012332.1	NP_015419.1	binding	927
NP_010514.3	NP_012626.1	binding	968
NP_010461.3	NP_013341.1	binding	203
NP_011303.1	NP_013370.1	binding	863
NP_014991.1	NP_015303.1	binding	928
NP_010253.2	NP_010345.3	binding	900
NP_012532.3	NP_013866.1	binding	602
NP_010376.3	NP_013007.1	binding	900
NP_116686.3	NP_013406.1	binding	294
NP_010128.1	NP_012426.1	binding	967
NP_015381.1	NP_015513.1	binding	966
NP_116665.1	NP_014800.3	binding	962
NP_116609.1	NP_014903.1	binding	171
NP_011437.3	NP_014286.1	binding	207
NP_010223.1	NP_013764.1	binding	900
NP_013877.1	NP_014011.1	binding	522
NP_011392.1	NP_012916.1	binding	296
NP_010626.1	NP_013323.1	binding	967
NP_014003.1	NP_014788.1	binding	175
NP_010462.3	NP_014587.1	binding	226
NP_010877.3	NP_015081.1	binding	202
NP_013605.1	NP_014193.1	binding	650
NP_010917.3	NP_014338.3	binding	900
NP_009984.1	NP_014017.1	binding	911
NP_009479.1	NP_010946.3	binding	910
NP_015006.3	NP_015366.1	binding	968
NP_011392.1	NP_012472.1	binding	365
NP_009704.1	NP_011447.1	binding	891
NP_014217.1	NP_015344.1	binding	900
NP_012426.1	NP_013230.1	binding	985
NP_009984.1	NP_012039.1	binding	985
NP_011777.3	NP_014315.1	binding	202
NP_011859.1	NP_014393.1	binding	761
NP_010770.3	NP_013967.1	binding	444
NP_011037.3	NP_013248.1	binding	985
NP_010529.3	NP_013298.1	binding	267
NP_011447.1	NP_012916.1	binding	311
NP_444296.1	NP_116615.1	binding	951
NP_009635.1	NP_010624.3	binding	280
NP_011100.1	NP_011774.1	binding	152
NP_010121.1	NP_011451.1	binding	404
NP_015358.1	NP_015433.1	binding	448
