Protein	GO
NP_012530.1	GO:0016020
NP_012530.1	GO:0016021
NP_012530.1	GO:0000139
NP_012530.1	GO:0005802
NP_012530.1	GO:0015031
NP_012530.1	GO:0003674
NP_012530.1	GO:0043001
NP_012530.1	GO:0005794
NP_012530.1	GO:0006895
NP_012530.1	GO:0034067
NP_012530.1	GO:0005829
NP_012529.3	GO:0035556
NP_012529.3	GO:0000166
NP_012529.3	GO:0005739
NP_012529.3	GO:0005789
NP_012529.3	GO:0005829
NP_012529.3	GO:0007265
NP_012529.3	GO:0005524
NP_012529.3	GO:0016829
NP_012529.3	GO:0006171
NP_012529.3	GO:0007165
NP_012529.3	GO:0007188
NP_012529.3	GO:0000287
NP_012529.3	GO:0046872
NP_012529.3	GO:0005886
NP_012529.3	GO:0004016
NP_012529.3	GO:0016849
NP_012529.3	GO:0003824
NP_012529.3	GO:0009190
NP_012528.1	GO:0008024
NP_012528.1	GO:0061575
NP_012528.1	GO:0006974
NP_012528.1	GO:0005634
NP_012528.1	GO:0070692
NP_012528.1	GO:0005829
NP_012528.1	GO:0006357
NP_012528.1	GO:0000079
NP_012528.1	GO:0045903
NP_012528.1	GO:0016538
NP_012528.1	GO:0045943
NP_012528.1	GO:0032786
NP_012528.1	GO:0005730
NP_012528.1	GO:0005654
NP_012528.1	GO:0006468
NP_012528.1	GO:0045737
NP_012528.1	GO:0006397
NP_001335787.1	GO:0016021
NP_001335787.1	GO:0016020
NP_001335787.1	GO:0005575
NP_001335787.1	GO:0003674
NP_001335787.1	GO:0008150
NP_012526.1	GO:0000166
NP_012526.1	GO:0005737
NP_012526.1	GO:0051082
NP_012526.1	GO:0006457
NP_012526.1	GO:0005832
NP_012526.1	GO:0005524
NP_012524.3	GO:0003729
NP_012524.3	GO:0000472
NP_012524.3	GO:0000480
NP_012524.3	GO:0005634
NP_012524.3	GO:0030688
NP_012524.3	GO:0003723
NP_012524.3	GO:0000447
NP_012524.3	GO:0000056
NP_012524.3	GO:0042254
NP_012524.3	GO:0030686
NP_012524.3	GO:0005730
NP_012524.3	GO:0006364
NP_012523.2	GO:0001056
NP_012523.2	GO:0005829
NP_012523.2	GO:0005634
NP_012523.2	GO:0006352
NP_012523.2	GO:0003899
NP_012523.2	GO:0030880
NP_012523.2	GO:0044237
NP_012523.2	GO:0006384
NP_012523.2	GO:0005666
NP_012523.2	GO:0042797
NP_012523.2	GO:0003824
NP_012523.2	GO:0000166
NP_012522.2	GO:0033254
NP_012522.2	GO:0006797
NP_012522.2	GO:0016310
NP_012522.2	GO:0016237
NP_012522.2	GO:0000822
NP_012522.2	GO:0008976
NP_012522.2	GO:0007034
NP_012522.2	GO:0042144
NP_012522.2	GO:0005516
NP_012522.2	GO:0005773
NP_012522.2	GO:0000329
NP_012522.2	GO:0071944
NP_012522.2	GO:0005783
NP_012522.2	GO:0048016
NP_012522.2	GO:0016021
NP_012522.2	GO:0006799
NP_012522.2	GO:0005774
NP_012522.2	GO:0031310
NP_012522.2	GO:0016020
NP_012521.3	GO:0007094
NP_012521.3	GO:0006468
NP_012521.3	GO:0051301
NP_012521.3	GO:0033597
NP_012521.3	GO:0004672
NP_012521.3	GO:0000778
NP_012521.3	GO:0051754
NP_012521.3	GO:0007049
NP_012521.3	GO:1902499
NP_012521.3	GO:0005634
NP_012521.3	GO:0032837
NP_012521.3	GO:0044774
NP_012521.3	GO:0003674
NP_012520.1	GO:0000166
NP_012520.1	GO:0005737
NP_012520.1	GO:0051082
NP_012520.1	GO:0005524
NP_012520.1	GO:0005832
NP_012520.1	GO:0006457
NP_012518.2	GO:0005737
NP_012518.2	GO:0008150
NP_012518.2	GO:0003674
NP_012515.4	GO:0031965
NP_012515.4	GO:0005856
NP_012515.4	GO:0007049
NP_012515.4	GO:0005524
NP_012515.4	GO:0034087
NP_012515.4	GO:0016020
NP_012515.4	GO:0005816
NP_012515.4	GO:0007129
NP_012515.4	GO:0005634
NP_012515.4	GO:0007064
NP_012515.4	GO:0000784
NP_012515.4	GO:0000166
NP_012515.4	GO:0006348
NP_012515.4	GO:0030474
NP_012515.4	GO:0003674
NP_012515.4	GO:0006998
NP_012515.4	GO:0034399
NP_012515.4	GO:0034398
NP_012515.4	GO:0005825
NP_012515.4	GO:0005635
NP_012515.4	GO:0016021
NP_012515.4	GO:0045141
NP_012515.4	GO:0005737
NP_012515.4	GO:0000741
NP_012515.4	GO:0034993
NP_012515.4	GO:0043495
NP_012515.4	GO:0000743
NP_012514.2	GO:0005737
NP_012514.2	GO:0030479
NP_012514.2	GO:0005856
NP_012514.2	GO:0034316
NP_012514.2	GO:0030036
NP_012511.1	GO:0097745
NP_012511.1	GO:0005739
NP_012511.1	GO:0099617
NP_012511.1	GO:0005759
NP_012511.1	GO:0003674
NP_012510.3	GO:0006896
NP_012510.3	GO:0015031
NP_012510.3	GO:0016192
NP_012510.3	GO:0005794
NP_012510.3	GO:0031410
NP_012510.3	GO:0030659
NP_012510.3	GO:0006623
NP_012510.3	GO:0003674
NP_012510.3	GO:0016020
NP_012510.3	GO:0006886
NP_012510.3	GO:0008565
NP_012510.3	GO:0030117
NP_012510.3	GO:0030123
NP_012509.1	GO:0046872
NP_012509.1	GO:0070860
NP_012509.1	GO:0005634
NP_012509.1	GO:0003677
NP_012509.1	GO:0001164
NP_012509.1	GO:0006360
NP_012509.1	GO:0006361
NP_012509.1	GO:0042790
NP_012509.1	GO:0001188
NP_012509.1	GO:0017025
NP_012509.1	GO:0005668
NP_012509.1	GO:0005730
NP_012508.1	GO:0006260
NP_012508.1	GO:0016491
NP_012508.1	GO:0005971
NP_012508.1	GO:0055114
NP_012508.1	GO:0005737
NP_012508.1	GO:0004748
NP_012508.1	GO:0005634
NP_012508.1	GO:0046872
NP_012508.1	GO:0009263
NP_012507.3	GO:0003674
NP_012507.3	GO:0008150
NP_012507.3	GO:0005575
NP_012506.1	GO:0008150
NP_012506.1	GO:0003674
NP_012506.1	GO:0016021
NP_012506.1	GO:0016020
NP_012505.1	GO:0005737
NP_012505.1	GO:0010008
NP_012505.1	GO:0000938
NP_012505.1	GO:0015031
NP_012505.1	GO:0005794
NP_012505.1	GO:0005768
NP_012505.1	GO:0003674
NP_012505.1	GO:0005829
NP_012505.1	GO:0006896
NP_012505.1	GO:0090156
NP_012505.1	GO:0016020
NP_012505.1	GO:0042147
NP_012504.3	GO:0044774
NP_012504.3	GO:1902499
NP_012504.3	GO:0005634
NP_012504.3	GO:0044877
NP_012504.3	GO:0000778
NP_012504.3	GO:0051301
NP_012504.3	GO:0007049
NP_012504.3	GO:0033597
NP_012504.3	GO:0007094
NP_012504.3	GO:0051312
NP_012503.2	GO:0005737
NP_012503.2	GO:0018344
NP_012503.2	GO:0004663
NP_012503.2	GO:0006612
NP_012503.2	GO:0016740
NP_012503.2	GO:0005968
NP_012503.2	GO:0005829
NP_012503.2	GO:0018342
NP_012503.2	GO:0004659
NP_012503.2	GO:0006888
NP_012503.2	GO:0005777
NP_012503.2	GO:0008318
NP_012501.1	GO:0008186
NP_012501.1	GO:0004386
NP_012501.1	GO:0034511
NP_012501.1	GO:0004004
NP_012501.1	GO:0003676
NP_012501.1	GO:0005730
NP_012501.1	GO:0016787
NP_012501.1	GO:0000166
NP_012501.1	GO:0034512
NP_012501.1	GO:0003723
NP_012501.1	GO:0005524
NP_012501.1	GO:0032040
NP_012501.1	GO:0042254
NP_012501.1	GO:0005634
NP_012501.1	GO:0006364
NP_012500.3	GO:0005783
NP_012500.3	GO:0006616
NP_012500.3	GO:0034099
NP_012500.3	GO:0031072
NP_012500.3	GO:0005788
NP_012500.3	GO:0005524
NP_012500.3	GO:0051082
NP_012500.3	GO:0031204
NP_012500.3	GO:0034620
NP_012500.3	GO:0051787
NP_012500.3	GO:0005737
NP_012500.3	GO:0034663
NP_012500.3	GO:0042623
NP_012500.3	GO:0005634
NP_012500.3	GO:0000742
NP_012500.3	GO:0042026
NP_012500.3	GO:0030433
NP_012500.3	GO:0000166
NP_012500.3	GO:0006986
NP_012500.3	GO:0030968
NP_012500.3	GO:0044183
NP_012500.3	GO:0016020
NP_012500.3	GO:0034605
NP_012500.3	GO:0016787
NP_012500.3	GO:0051085
NP_012500.3	GO:0070880
NP_012500.3	GO:0016887
NP_012499.1	GO:0002100
NP_012499.1	GO:0005737
NP_012499.1	GO:0016787
NP_012499.1	GO:0003824
NP_012499.1	GO:0046872
NP_012499.1	GO:0005634
NP_012499.1	GO:0008251
NP_012499.1	GO:0008033
NP_012499.1	GO:0006400
NP_012499.1	GO:0052717
NP_012499.1	GO:0008270
NP_012499.1	GO:0052718
NP_012498.1	GO:0005829
NP_012498.1	GO:0032258
NP_012498.1	GO:0032266
NP_012498.1	GO:0034727
NP_012498.1	GO:0034498
NP_012498.1	GO:0000422
NP_012498.1	GO:0016020
NP_012498.1	GO:0015031
NP_012498.1	GO:0005768
NP_012498.1	GO:0008289
NP_012498.1	GO:0035091
NP_012498.1	GO:0010008
NP_012498.1	GO:0036010
NP_012498.1	GO:0005737
NP_012498.1	GO:0000407
NP_012498.1	GO:0006623
NP_012498.1	GO:0019898
NP_012498.1	GO:0005769
NP_012497.3	GO:0016021
NP_012497.3	GO:0016020
NP_012497.3	GO:0000324
NP_012497.3	GO:0003674
NP_012497.3	GO:0030476
NP_012497.3	GO:0030435
NP_012496.1	GO:0003674
NP_012496.1	GO:0030476
NP_012496.1	GO:0005829
NP_012496.1	GO:0016021
NP_012496.1	GO:0016020
NP_012496.1	GO:0051276
NP_012496.1	GO:0030435
NP_012495.1	GO:0046822
NP_012495.1	GO:0006913
NP_012495.1	GO:0051028
NP_012495.1	GO:0017056
NP_012495.1	GO:0044611
NP_012495.1	GO:0006999
NP_012495.1	GO:0015031
NP_012495.1	GO:0005643
NP_012495.1	GO:0005634
NP_012494.3	GO:0015031
NP_012494.3	GO:0016020
NP_012494.3	GO:0006606
NP_012494.3	GO:0034399
NP_012494.3	GO:0006409
NP_012494.3	GO:0044615
NP_012494.3	GO:0007049
NP_012494.3	GO:0000055
NP_012494.3	GO:0005643
NP_012494.3	GO:0044613
NP_012494.3	GO:0031965
NP_012494.3	GO:0017056
NP_012494.3	GO:0000056
NP_012494.3	GO:0005634
NP_012494.3	GO:0005543
NP_012494.3	GO:0097064
NP_012494.3	GO:0006607
NP_012494.3	GO:0051028
NP_012494.3	GO:0016973
NP_012493.1	GO:0005737
NP_012493.1	GO:0007010
NP_012493.1	GO:0005819
NP_012493.1	GO:0031505
NP_012493.1	GO:0005874
NP_012493.1	GO:0005200
NP_012493.1	GO:0007026
NP_012493.1	GO:0005856
NP_012492.1	GO:0005737
NP_012492.1	GO:0005739
NP_012492.1	GO:0003674
NP_012492.1	GO:0008150
NP_012491.3	GO:0006886
NP_012491.3	GO:0005768
NP_012491.3	GO:0017137
NP_012491.3	GO:0005802
NP_012491.3	GO:0005737
NP_012491.3	GO:0005096
NP_012491.3	GO:0005829
NP_012491.3	GO:0030136
NP_012491.3	GO:0090630
NP_012490.1	GO:0000104
NP_012490.1	GO:0022900
NP_012490.1	GO:0006121
NP_012490.1	GO:0009055
NP_012490.1	GO:0016627
NP_012490.1	GO:0005749
NP_012490.1	GO:0055114
NP_012490.1	GO:0045333
NP_012490.1	GO:0016491
NP_012490.1	GO:0045282
NP_012490.1	GO:0006099
NP_012490.1	GO:0005743
NP_012490.1	GO:0008177
NP_012490.1	GO:0005739
NP_012490.1	GO:0050660
NP_012490.1	GO:0016020
NP_012489.2	GO:0016979
NP_012489.2	GO:0009249
NP_012489.2	GO:0005524
NP_012489.2	GO:0016874
NP_012489.2	GO:0000166
NP_012489.2	GO:0006464
NP_012489.2	GO:0005739
NP_012488.3	GO:0031297
NP_012488.3	GO:0005737
NP_012488.3	GO:0051301
NP_012488.3	GO:0004842
NP_012488.3	GO:0006281
NP_012488.3	GO:0035361
NP_012488.3	GO:0070651
NP_012488.3	GO:0016567
NP_012488.3	GO:0007049
NP_012488.3	GO:0006974
NP_012488.3	GO:0006511
NP_012488.3	GO:0007088
NP_012488.3	GO:0010526
NP_012488.3	GO:0005634
NP_878105.1	GO:0003674
NP_878105.1	GO:0008150
NP_878105.1	GO:0005575
NP_012487.1	GO:0006511
NP_012487.1	GO:0030435
NP_012487.1	GO:0005634
NP_012487.1	GO:0003674
NP_012486.3	GO:0007034
NP_012486.3	GO:0003674
NP_012486.3	GO:0008150
NP_012486.3	GO:0005575
NP_012485.1	GO:0034459
NP_012485.1	GO:0034475
NP_012485.1	GO:0071031
NP_012485.1	GO:0004386
NP_012485.1	GO:0005524
NP_012485.1	GO:0000467
NP_012485.1	GO:0003724
NP_012485.1	GO:0071049
NP_012485.1	GO:0008143
NP_012485.1	GO:0031499
NP_012485.1	GO:0005634
NP_012485.1	GO:0034476
NP_012485.1	GO:0071042
NP_012485.1	GO:0016973
NP_012485.1	GO:0043629
NP_012485.1	GO:0016075
NP_012485.1	GO:0004004
NP_012485.1	GO:0071051
NP_012485.1	GO:0071038
NP_012485.1	GO:0003676
NP_012485.1	GO:0055114
NP_012485.1	GO:0016787
NP_012485.1	GO:0003723
NP_012485.1	GO:0003729
NP_012485.1	GO:0005730
NP_012485.1	GO:0006364
NP_012485.1	GO:0016491
NP_012485.1	GO:0000460
NP_012485.1	GO:0000166
NP_012485.1	GO:0071035
NP_012485.1	GO:0006401
NP_012485.1	GO:0003824
NP_012484.1	GO:0071944
NP_012484.1	GO:0016021
NP_012484.1	GO:0006312
NP_012484.1	GO:0003674
NP_012484.1	GO:0000324
NP_012484.1	GO:0016020
NP_012484.1	GO:0005933
NP_076895.1	GO:0008150
NP_076895.1	GO:0003674
NP_076895.1	GO:0005575
NP_012483.3	GO:0005829
NP_012483.3	GO:0016620
NP_012483.3	GO:0016491
NP_012483.3	GO:0006006
NP_012483.3	GO:0055114
NP_012483.3	GO:0051287
NP_012483.3	GO:0005739
NP_012483.3	GO:0005886
NP_012483.3	GO:0009277
NP_012483.3	GO:0005811
NP_012483.3	GO:0006096
NP_012483.3	GO:0050661
NP_012483.3	GO:0005737
NP_012483.3	GO:0006094
NP_012483.3	GO:0004365
NP_012482.1	GO:0000329
NP_012482.1	GO:0015031
NP_012482.1	GO:0030906
NP_012482.1	GO:0005768
NP_012482.1	GO:0045053
NP_012482.1	GO:0005737
NP_012482.1	GO:0005829
NP_012482.1	GO:0008565
NP_012482.1	GO:0006886
NP_012482.1	GO:0030904
NP_012482.1	GO:0042147
NP_012481.3	GO:0008320
NP_012481.3	GO:0016021
NP_012481.3	GO:0071806
NP_012481.3	GO:0042721
NP_012481.3	GO:0015031
NP_012481.3	GO:0005739
NP_012481.3	GO:0045039
NP_012481.3	GO:0005743
NP_012481.3	GO:0016020
NP_012480.1	GO:0005737
NP_012480.1	GO:0009691
NP_012480.1	GO:0014074
NP_012480.1	GO:0005634
NP_012480.1	GO:0003674
NP_012480.1	GO:0016799
NP_012480.1	GO:0005829
NP_012479.1	GO:0003677
NP_012479.1	GO:0000977
NP_012479.1	GO:0034225
NP_012479.1	GO:0000981
NP_012479.1	GO:0045944
NP_012479.1	GO:0005634
NP_012479.1	GO:0003676
NP_012479.1	GO:0008270
NP_012479.1	GO:0097236
NP_012479.1	GO:0046872
NP_012478.3	GO:0006468
NP_012478.3	GO:0000166
NP_012478.3	GO:0004672
NP_012478.3	GO:0016301
NP_012478.3	GO:0016310
NP_012478.3	GO:0005524
NP_012478.3	GO:0004674
NP_012478.3	GO:0005575
NP_012478.3	GO:0016740
NP_012478.3	GO:0010998
NP_012478.3	GO:0004694
NP_012477.1	GO:0005886
NP_012477.1	GO:0031932
NP_012477.1	GO:0071944
NP_012477.1	GO:0005737
NP_012477.1	GO:0016020
NP_012477.1	GO:0005774
NP_012477.1	GO:0038203
NP_012477.1	GO:0031505
NP_012477.1	GO:0001558
NP_012477.1	GO:0003674
NP_012477.1	GO:0030950
NP_012477.1	GO:0005773
NP_012476.1	GO:0005774
NP_012476.1	GO:0000324
NP_012476.1	GO:0051453
NP_012476.1	GO:0016021
NP_012476.1	GO:0005773
NP_012476.1	GO:0015819
NP_012476.1	GO:0003674
NP_012476.1	GO:0015809
NP_012476.1	GO:0016020
NP_012476.1	GO:0006865
NP_012475.3	GO:0008483
NP_012475.3	GO:0030170
NP_012475.3	GO:0047536
NP_012475.3	GO:0034276
NP_012475.3	GO:0003824
NP_012475.3	GO:0009058
NP_012475.3	GO:0016740
NP_012475.3	GO:0005739
NP_012475.3	GO:0016212
NP_012475.3	GO:0004061
NP_012475.3	GO:0005737
NP_012475.3	GO:0097053
NP_012474.1	GO:0005829
NP_012474.1	GO:0005643
NP_012474.1	GO:0000056
NP_012474.1	GO:0000055
NP_012474.1	GO:0044614
NP_012474.1	GO:0015031
NP_012474.1	GO:0006913
NP_012474.1	GO:0006406
NP_012474.1	GO:0031965
NP_012474.1	GO:0017056
NP_012474.1	GO:0006611
NP_012474.1	GO:0005634
NP_012474.1	GO:0044612
NP_012474.1	GO:0006606
NP_012474.1	GO:0051028
NP_012474.1	GO:0016020
NP_012473.1	GO:0051377
NP_012473.1	GO:0006506
NP_012473.1	GO:0005887
NP_012473.1	GO:0005783
NP_012473.1	GO:0016020
NP_012473.1	GO:0030176
NP_012473.1	GO:0003824
NP_012473.1	GO:0005789
NP_012473.1	GO:0016021
NP_012473.1	GO:0051267
NP_012473.1	GO:0016740
NP_076894.3	GO:0033617
NP_076894.3	GO:0003674
NP_076894.3	GO:0070130
NP_076894.3	GO:0005739
NP_076894.3	GO:0031305
NP_076894.3	GO:0016021
NP_076894.3	GO:0005743
NP_076894.3	GO:0016020
NP_012472.1	GO:0005762
NP_012472.1	GO:0003735
NP_012472.1	GO:0005840
NP_012472.1	GO:0005739
NP_012472.1	GO:0006412
NP_012472.1	GO:0032543
NP_012470.1	GO:0006348
NP_012470.1	GO:0070868
NP_012470.1	GO:0046982
NP_012470.1	GO:0000781
NP_012470.1	GO:0008623
NP_012470.1	GO:0003674
NP_012470.1	GO:0005634
NP_012469.3	GO:0005739
NP_012469.3	GO:0003674
NP_012469.3	GO:0005758
NP_012469.3	GO:0016020
NP_012469.3	GO:0019898
NP_012469.3	GO:0031966
NP_012469.3	GO:0008150
NP_012467.1	GO:0005737
NP_012467.1	GO:0016787
NP_012467.1	GO:0005829
NP_012467.1	GO:0018738
NP_012467.1	GO:0046294
NP_012467.1	GO:0052689
NP_012466.1	GO:0042254
NP_012466.1	GO:0000447
NP_012466.1	GO:0006364
NP_012466.1	GO:0030686
NP_012466.1	GO:0005634
NP_012466.1	GO:0000480
NP_012466.1	GO:0003674
NP_012466.1	GO:0005730
NP_012466.1	GO:0032040
NP_012466.1	GO:0034388
NP_012466.1	GO:0000472
NP_012465.3	GO:0003876
NP_012465.3	GO:0005739
NP_012465.3	GO:0005829
NP_012465.3	GO:0003674
NP_012465.3	GO:0005737
NP_012465.3	GO:0008150
NP_012464.1	GO:0006592
NP_012464.1	GO:0005759
NP_012464.1	GO:0034618
NP_012464.1	GO:0016310
NP_012464.1	GO:0103045
NP_012464.1	GO:0005739
NP_012464.1	GO:0016746
NP_012464.1	GO:0016740
NP_012464.1	GO:0006526
NP_012464.1	GO:0008652
NP_012464.1	GO:0004042
NP_012464.1	GO:0003991
NP_012463.1	GO:0006261
NP_012463.1	GO:0000811
NP_012463.1	GO:0000727
NP_012463.1	GO:0071162
NP_012463.1	GO:0005634
NP_012463.1	GO:0006260
NP_012463.1	GO:0031261
NP_012463.1	GO:0043596
NP_012463.1	GO:0031298
NP_012463.1	GO:0032508
NP_012463.1	GO:0043138
NP_012463.1	GO:0003674
NP_012462.3	GO:0034975
NP_012462.3	GO:0031965
NP_012462.3	GO:0030433
NP_012462.3	GO:0005789
NP_012462.3	GO:0042175
NP_012462.3	GO:0051087
NP_012462.3	GO:0000742
NP_012462.3	GO:0051787
NP_012462.3	GO:0016020
NP_012462.3	GO:0016021
NP_012462.3	GO:0005634
NP_012462.3	GO:0051082
NP_012462.3	GO:0005783
NP_012461.1	GO:0051276
NP_012461.1	GO:0034990
NP_012461.1	GO:0007130
NP_012461.1	GO:0051177
NP_012461.1	GO:0016887
NP_012461.1	GO:0030437
NP_012461.1	GO:0007131
NP_012461.1	GO:0051301
NP_012461.1	GO:0005694
NP_012461.1	GO:0005524
NP_012461.1	GO:0007049
NP_012461.1	GO:0000166
NP_012461.1	GO:0019901
NP_012461.1	GO:1990414
NP_012461.1	GO:0005634
NP_012461.1	GO:0007064
NP_012459.1	GO:0043085
NP_012459.1	GO:0007000
NP_012459.1	GO:0030869
NP_012459.1	GO:0007096
NP_012459.1	GO:0005634
NP_012459.1	GO:0051301
NP_012459.1	GO:0005730
NP_012459.1	GO:0007049
NP_012459.1	GO:0000182
NP_012459.1	GO:0031030
NP_012459.1	GO:0000183
NP_012459.1	GO:0019211
NP_012458.1	GO:0005575
NP_012458.1	GO:0016020
NP_012458.1	GO:0016021
NP_012458.1	GO:0003674
NP_012458.1	GO:0055070
NP_001257682.1	GO:0003674
NP_001257682.1	GO:0005575
NP_001257682.1	GO:0008150
NP_878104.1	GO:0008150
NP_878104.1	GO:0003674
NP_878104.1	GO:0005575
NP_012457.1	GO:0015918
NP_012457.1	GO:0006869
NP_012457.1	GO:0005576
NP_012457.1	GO:0016020
NP_012457.1	GO:0031225
NP_012457.1	GO:0071944
NP_012457.1	GO:0009277
NP_012457.1	GO:0005615
NP_012457.1	GO:0005618
NP_012457.1	GO:0003674
NP_012456.1	GO:0032934
NP_012456.1	GO:0015918
NP_012456.1	GO:0008289
NP_012456.1	GO:0000324
NP_012456.1	GO:0005615
NP_012456.1	GO:0005635
NP_012456.1	GO:0005783
NP_012456.1	GO:0006869
NP_012456.1	GO:0015485
NP_012456.1	GO:0000287
NP_012456.1	GO:0005576
NP_012455.1	GO:0030466
NP_012455.1	GO:0007059
NP_012455.1	GO:0000781
NP_012455.1	GO:0001965
NP_012455.1	GO:0042175
NP_012455.1	GO:0045141
NP_012455.1	GO:0003676
NP_012455.1	GO:0005789
NP_012455.1	GO:0006348
NP_012455.1	GO:0005634
NP_012455.1	GO:0005783
NP_012455.1	GO:0000329
NP_012455.1	GO:0016020
NP_012455.1	GO:0043577
NP_012455.1	GO:0031965
NP_012455.1	GO:0003729
NP_012455.1	GO:0003723
NP_012455.1	GO:0000750
NP_012455.1	GO:0005844
NP_012455.1	GO:0005737
NP_012454.1	GO:0006281
NP_012454.1	GO:0004402
NP_012454.1	GO:0031011
NP_012454.1	GO:0032508
NP_012454.1	GO:0016573
NP_012454.1	GO:0035267
NP_012454.1	GO:0006357
NP_012454.1	GO:0051382
NP_012454.1	GO:0000790
NP_012454.1	GO:0006355
NP_012454.1	GO:0006338
NP_012454.1	GO:0006325
NP_012454.1	GO:0031493
NP_012454.1	GO:0005634
NP_012454.1	GO:0042393
NP_012454.1	GO:0006974
NP_012454.1	GO:0043140
NP_012454.1	GO:0000812
NP_012454.1	GO:0003682
NP_012453.1	GO:0005739
NP_012453.1	GO:0005741
NP_012453.1	GO:0071218
NP_012453.1	GO:0005737
NP_012453.1	GO:0005634
NP_012453.1	GO:0003674
NP_012452.1	GO:0031505
NP_012452.1	GO:0048017
NP_012452.1	GO:0006914
NP_012452.1	GO:0009267
NP_012452.1	GO:0032258
NP_012452.1	GO:0006629
NP_012452.1	GO:0000407
NP_012452.1	GO:0003674
NP_012451.1	GO:0005769
NP_012451.1	GO:0005737
NP_012451.1	GO:0070086
NP_012451.1	GO:2000397
NP_012451.1	GO:0030674
NP_012451.1	GO:0005829
NP_012451.1	GO:0032386
NP_012451.1	GO:0031625
NP_012451.1	GO:0005770
NP_012450.1	GO:0015031
NP_012450.1	GO:0005933
NP_012450.1	GO:0043332
NP_012450.1	GO:0006887
NP_012450.1	GO:0007266
NP_012450.1	GO:0090522
NP_012450.1	GO:0005934
NP_012450.1	GO:0000145
NP_012450.1	GO:0030133
NP_012450.1	GO:0006893
NP_012450.1	GO:0005628
NP_012450.1	GO:0051601
NP_012450.1	GO:0005737
NP_012450.1	GO:0017049
NP_012450.1	GO:0005935
NP_012450.1	GO:0000131
NP_012450.1	GO:0031410
NP_012450.1	GO:0005886
NP_012450.1	GO:0001927
NP_012450.1	GO:0005546
NP_012448.1	GO:0003824
NP_012448.1	GO:0006388
NP_012448.1	GO:0005737
NP_012448.1	GO:0016787
NP_012448.1	GO:0090305
NP_012448.1	GO:0004113
NP_012448.1	GO:0016874
NP_012448.1	GO:0005637
NP_012448.1	GO:0036498
NP_012448.1	GO:0008033
NP_012448.1	GO:0051730
NP_012448.1	GO:0004519
NP_012448.1	GO:0016740
NP_012448.1	GO:0032056
NP_012448.1	GO:0008081
NP_012448.1	GO:0008152
NP_012448.1	GO:0005524
NP_012448.1	GO:0003972
NP_012448.1	GO:0000166
NP_012448.1	GO:0016310
NP_012448.1	GO:0016301
NP_012448.1	GO:0004518
NP_012447.1	GO:0042450
NP_012447.1	GO:0016740
NP_012447.1	GO:0006520
NP_012447.1	GO:0006526
NP_012447.1	GO:0019240
NP_012447.1	GO:0008652
NP_012447.1	GO:0005739
NP_012447.1	GO:0005829
NP_012447.1	GO:0016743
NP_012447.1	GO:0016597
NP_012447.1	GO:0004585
NP_012447.1	GO:0005737
NP_012446.1	GO:0001228
NP_012446.1	GO:0008270
NP_012446.1	GO:0005634
NP_012446.1	GO:0006355
NP_012446.1	GO:0000981
NP_012446.1	GO:0046872
NP_012446.1	GO:0035948
NP_012446.1	GO:0061414
NP_012446.1	GO:0043565
NP_012446.1	GO:0003677
NP_012446.1	GO:0000978
NP_012446.1	GO:2000218
NP_012445.1	GO:0006260
NP_012445.1	GO:0001934
NP_012445.1	GO:0000076
NP_012445.1	GO:0007533
NP_012445.1	GO:0006298
NP_012445.1	GO:0006270
NP_012445.1	GO:0030295
NP_012445.1	GO:0032147
NP_012445.1	GO:0005634
NP_012445.1	GO:0070182
NP_012445.1	GO:0007095
NP_012445.1	GO:0007049
NP_012445.1	GO:0005657
NP_012445.1	GO:0000727
NP_012445.1	GO:0000725
NP_012445.1	GO:0031261
NP_012445.1	GO:1902597
NP_012444.2	GO:0005783
NP_012444.2	GO:0042175
NP_012444.2	GO:0006506
NP_012444.2	GO:0016740
NP_012444.2	GO:0016020
NP_012444.2	GO:0005789
NP_012444.2	GO:0072659
NP_012444.2	GO:0032216
NP_012444.2	GO:0016746
NP_012444.2	GO:0016021
NP_012443.1	GO:0005524
NP_012443.1	GO:0000725
NP_012443.1	GO:0043140
NP_012443.1	GO:0003677
NP_012443.1	GO:0008047
NP_012443.1	GO:1990986
NP_012443.1	GO:0006303
NP_012443.1	GO:0005634
NP_012443.1	GO:0032079
NP_012443.1	GO:0004003
NP_012443.1	GO:0006281
NP_012443.1	GO:0032508
NP_012443.1	GO:0000166
NP_012443.1	GO:0006974
NP_012443.1	GO:0004386
NP_012443.1	GO:0045910
NP_012443.1	GO:2000042
NP_012443.1	GO:0016787
NP_012442.1	GO:0016020
NP_012442.1	GO:0034765
NP_012442.1	GO:0016021
NP_012442.1	GO:0005887
NP_012442.1	GO:0005244
NP_012442.1	GO:0022841
NP_012442.1	GO:0005886
NP_012442.1	GO:0030322
NP_012442.1	GO:0006811
NP_012442.1	GO:0030007
NP_012442.1	GO:0071944
NP_012442.1	GO:0005267
NP_012442.1	GO:0005249
NP_012442.1	GO:0071805
NP_012441.1	GO:0008324
NP_012441.1	GO:0015672
NP_012441.1	GO:0015386
NP_012441.1	GO:1902600
NP_012441.1	GO:0005739
NP_012441.1	GO:0016021
NP_012441.1	GO:0015297
NP_012441.1	GO:0071805
NP_012441.1	GO:0006811
NP_012441.1	GO:0015299
NP_012441.1	GO:0005794
NP_012441.1	GO:0098655
NP_012441.1	GO:0006812
NP_012441.1	GO:0055085
NP_012441.1	GO:0016020
