Protein	GO
NP_009386.1	GO:0005816
NP_009386.1	GO:0004722
NP_009386.1	GO:0005634
NP_009385.2	GO:0000166
NP_009385.2	GO:0035556
NP_009385.2	GO:0004674
NP_009385.2	GO:0004672
NP_009385.2	GO:0005524
NP_009385.2	GO:0016310
NP_009385.2	GO:0016740
NP_009385.2	GO:0060917
NP_009385.2	GO:0045719
NP_009385.2	GO:0006417
NP_009385.2	GO:0005634
NP_009385.2	GO:0005737
NP_009385.2	GO:0016301
NP_009385.2	GO:0006468
NP_009385.2	GO:0005829
NP_009384.1	GO:0005619
NP_009384.1	GO:0005628
NP_009384.1	GO:0016021
NP_009384.1	GO:0030435
NP_009384.1	GO:0030476
NP_009384.1	GO:0003674
NP_009384.1	GO:0016020
NP_009384.1	GO:0005811
NP_009384.1	GO:0031160
NP_009383.1	GO:0000183
NP_009383.1	GO:0006281
NP_009383.1	GO:0000781
NP_009383.1	GO:0006325
NP_009383.1	GO:0005739
NP_009383.1	GO:0006974
NP_009383.1	GO:0005524
NP_009383.1	GO:0003677
NP_009383.1	GO:0030466
NP_009383.1	GO:0008094
NP_009383.1	GO:0006348
NP_009383.1	GO:0005694
NP_009383.1	GO:0000166
NP_009383.1	GO:0070870
NP_009383.1	GO:0003682
NP_009383.1	GO:0006338
NP_009383.1	GO:0000729
NP_009383.1	GO:0070869
NP_009383.1	GO:0000775
NP_009383.1	GO:0031934
NP_009383.1	GO:0016787
NP_009383.1	GO:0000122
NP_009383.1	GO:0004386
NP_009383.1	GO:0016584
NP_009383.1	GO:0005634
NP_009383.1	GO:0043044
NP_009383.1	GO:0042766
NP_009382.2	GO:0003674
NP_009382.2	GO:0007017
NP_009382.2	GO:0002098
NP_009382.2	GO:0007117
NP_009382.2	GO:0000226
NP_009382.2	GO:0005737
NP_009381.1	GO:0090503
NP_009381.1	GO:0030015
NP_009381.1	GO:0000289
NP_009381.1	GO:0005634
NP_009381.1	GO:0032968
NP_009381.1	GO:0003723
NP_009381.1	GO:0046872
NP_009381.1	GO:0048478
NP_009381.1	GO:0000175
NP_009381.1	GO:0000076
NP_009381.1	GO:0090305
NP_009381.1	GO:0016787
NP_009381.1	GO:0016593
NP_009381.1	GO:0005737
NP_009381.1	GO:0006368
NP_009381.1	GO:0004535
NP_009381.1	GO:0004527
NP_009381.1	GO:0006260
NP_009381.1	GO:0006357
NP_009381.1	GO:0007089
NP_009381.1	GO:0000288
NP_009381.1	GO:0000932
NP_009381.1	GO:0004518
NP_009380.1	GO:0015851
NP_009380.1	GO:1901642
NP_009380.1	GO:0034258
NP_009380.1	GO:0016020
NP_009380.1	GO:0055085
NP_009380.1	GO:0034257
NP_009380.1	GO:0005337
NP_009380.1	GO:0000329
NP_009380.1	GO:0015858
NP_009380.1	GO:0016021
NP_009380.1	GO:0015205
NP_009379.2	GO:0005783
NP_009379.2	GO:0016021
NP_009379.2	GO:0004169
NP_009379.2	GO:0006486
NP_009379.2	GO:0016020
NP_009379.2	GO:0005789
NP_009379.2	GO:0016740
NP_009379.2	GO:0097584
NP_009379.2	GO:0035269
NP_009379.2	GO:1900101
NP_009379.2	GO:0006493
NP_009379.2	GO:0031505
NP_009379.2	GO:0097582
NP_009379.2	GO:0071712
NP_009379.2	GO:0016757
NP_009379.2	GO:0000030
NP_009379.2	GO:0032527
NP_009378.1	GO:0016192
NP_009378.1	GO:0005085
NP_009378.1	GO:0031578
NP_009378.1	GO:0007264
NP_009378.1	GO:0061510
NP_009378.1	GO:0051301
NP_009378.1	GO:0005088
NP_009378.1	GO:0005737
NP_009378.1	GO:0031536
NP_009378.1	GO:0007049
NP_009378.1	GO:0005933
NP_009377.2	GO:0003674
NP_009377.2	GO:0007049
NP_009377.2	GO:0000466
NP_009377.2	GO:0005634
NP_009377.2	GO:0030687
NP_009377.2	GO:0005730
NP_009377.2	GO:0000463
NP_009377.2	GO:0042273
NP_009376.2	GO:0016020
NP_009376.2	GO:0000287
NP_009376.2	GO:0016021
NP_009376.2	GO:1990530
NP_009376.2	GO:0045332
NP_009376.2	GO:0000749
NP_009376.2	GO:0005794
NP_009376.2	GO:0000166
NP_009376.2	GO:0006892
NP_009376.2	GO:0032456
NP_009376.2	GO:0000028
NP_009376.2	GO:0005524
NP_009376.2	GO:0015914
NP_009376.2	GO:0005886
NP_009376.2	GO:0004012
NP_009376.2	GO:0005802
NP_009376.2	GO:0006897
NP_009376.2	GO:0006886
NP_009376.2	GO:0005783
NP_009375.1	GO:0070337
NP_009375.1	GO:0006281
NP_009375.1	GO:0070336
NP_009375.1	GO:0006974
NP_009375.1	GO:0032079
NP_009375.1	GO:0070338
NP_009375.1	GO:0005634
NP_009375.1	GO:0000736
NP_009374.1	GO:0005789
NP_009374.1	GO:0016020
NP_009374.1	GO:0005783
NP_009374.1	GO:0003674
NP_009374.1	GO:0071469
NP_009374.1	GO:0071472
NP_009374.1	GO:0016021
NP_009373.1	GO:0007533
NP_009373.1	GO:0051028
NP_009373.1	GO:0003774
NP_009373.1	GO:0005933
NP_009373.1	GO:0051015
NP_009373.1	GO:0005524
NP_009373.1	GO:0005934
NP_009373.1	GO:0008298
NP_009373.1	GO:0048309
NP_009373.1	GO:0005739
NP_009373.1	GO:0016459
NP_009373.1	GO:0005516
NP_009373.1	GO:0003779
NP_009373.1	GO:0000146
NP_009373.1	GO:0000166
NP_009373.1	GO:0031941
NP_009372.1	GO:0030658
NP_009372.1	GO:0016021
NP_009372.1	GO:0006887
NP_009372.1	GO:0006897
NP_009372.1	GO:0005886
NP_009372.1	GO:0005933
NP_009372.1	GO:0071944
NP_009372.1	GO:0005484
NP_009372.1	GO:0006906
NP_009372.1	GO:0005768
NP_009372.1	GO:0016020
NP_009372.1	GO:0005935
NP_009372.1	GO:0006893
NP_009372.1	GO:0016192
NP_009372.1	GO:0005802
NP_009372.1	GO:0012505
NP_009372.1	GO:0031201
NP_009371.1	GO:0005737
NP_009371.1	GO:0043666
NP_009371.1	GO:0007059
NP_009371.1	GO:0008157
NP_009371.1	GO:0019888
NP_009370.1	GO:0000386
NP_009370.1	GO:0071014
NP_009370.1	GO:0000350
NP_009370.1	GO:0000384
NP_009370.1	GO:0008380
NP_009370.1	GO:0005634
NP_009370.1	GO:0006397
NP_009370.1	GO:0000398
NP_009370.1	GO:0071006
NP_009370.1	GO:0005681
NP_009370.1	GO:0071007
NP_009369.1	GO:0004526
NP_009369.1	GO:0005634
NP_009369.1	GO:0000172
NP_009369.1	GO:0004540
NP_009369.1	GO:0090502
NP_009369.1	GO:0005737
NP_009369.1	GO:0008033
NP_009369.1	GO:0016787
NP_009369.1	GO:0005655
NP_009369.1	GO:0006364
NP_009369.1	GO:0034965
NP_009369.1	GO:0090501
NP_009369.1	GO:0000171
NP_009369.1	GO:0000294
NP_009369.1	GO:0003723
NP_009369.1	GO:0016070
NP_009368.2	GO:0003682
NP_009368.2	GO:0006357
NP_009368.2	GO:0008150
NP_009368.2	GO:0005575
NP_009368.2	GO:0035066
NP_009368.2	GO:0003713
NP_009368.2	GO:0006338
NP_009368.2	GO:0004402
NP_009368.2	GO:0005634
NP_009368.2	GO:0003677
NP_009368.2	GO:0003674
NP_009368.2	GO:0016573
NP_009368.2	GO:0070461
NP_009368.2	GO:1903508
NP_009367.1	GO:0051382
NP_009367.1	GO:0005856
NP_009367.1	GO:0005634
NP_009367.1	GO:0005694
NP_009367.1	GO:0007059
NP_009367.1	GO:0051301
NP_009367.1	GO:0000818
NP_009367.1	GO:0000922
NP_009367.1	GO:0034501
NP_009367.1	GO:0000070
NP_009367.1	GO:0007049
NP_009367.1	GO:0005737
NP_009367.1	GO:0000776
NP_009367.1	GO:0000777
NP_009367.1	GO:0000775
NP_009367.1	GO:0003674
NP_009367.1	GO:0000278
NP_009365.1	GO:0005829
NP_009365.1	GO:0003924
NP_009365.1	GO:0000166
NP_009365.1	GO:0003743
NP_009365.1	GO:0033290
NP_009365.1	GO:0046872
NP_009365.1	GO:0005737
NP_009365.1	GO:0006446
NP_009365.1	GO:0010494
NP_009365.1	GO:0042255
NP_009365.1	GO:0005739
NP_009365.1	GO:0001732
NP_009365.1	GO:0043022
NP_009365.1	GO:0016787
NP_009365.1	GO:0005525
NP_009365.1	GO:0000462
NP_009365.1	GO:0006413
NP_009365.1	GO:0022627
NP_009365.1	GO:0006412
NP_009365.1	GO:0031369
NP_009364.1	GO:0005515
NP_009364.1	GO:1903833
NP_009364.1	GO:0005737
NP_009364.1	GO:0005525
NP_009364.1	GO:0000166
NP_009364.1	GO:0010494
NP_009364.1	GO:0002181
NP_009364.1	GO:0005844
NP_878040.1	GO:0003674
NP_878040.1	GO:0005575
NP_878040.1	GO:0008150
NP_009363.1	GO:0008150
NP_009363.1	GO:0003674
NP_009363.1	GO:0005575
NP_009362.1	GO:0030955
NP_009362.1	GO:0016310
NP_009362.1	GO:0005886
NP_009362.1	GO:0032869
NP_009362.1	GO:0005524
NP_009362.1	GO:0016740
NP_009362.1	GO:0000287
NP_009362.1	GO:0016301
NP_009362.1	GO:0000166
NP_009362.1	GO:0006096
NP_009362.1	GO:0005737
NP_009362.1	GO:0008152
NP_009362.1	GO:0004743
NP_009362.1	GO:0046872
NP_009362.1	GO:0006090
NP_009362.1	GO:0003824
NP_009361.1	GO:0004408
NP_009361.1	GO:0005758
NP_009361.1	GO:0005739
NP_009361.1	GO:0005743
NP_009361.1	GO:0046872
NP_009361.1	GO:0016020
NP_009361.1	GO:0018063
NP_009361.1	GO:0016829
NP_009360.1	GO:0019901
NP_009360.1	GO:0006468
NP_009360.1	GO:0005634
NP_009360.1	GO:0000307
NP_009360.1	GO:0000083
NP_009360.1	GO:0042144
NP_009360.1	GO:0007089
NP_009360.1	GO:0005737
NP_009360.1	GO:0051301
NP_009360.1	GO:0007033
NP_009360.1	GO:0008284
NP_009360.1	GO:0007049
